[2024-05-10T06:26:39.304+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-10T06:26:39.434+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Proyecto_SpaceX_v1.Lectura_Datos_NASA scheduled__2024-03-30T00:00:00+00:00 [queued]>
[2024-05-10T06:26:39.451+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Proyecto_SpaceX_v1.Lectura_Datos_NASA scheduled__2024-03-30T00:00:00+00:00 [queued]>
[2024-05-10T06:26:39.487+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-05-10T06:26:39.503+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): Lectura_Datos_NASA> on 2024-03-30 00:00:00+00:00
[2024-05-10T06:26:39.512+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=2299) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-10T06:26:39.797+0000] {subprocess.py:93} INFO - response_20240101.txt
[2024-05-10T06:26:39.798+0000] {subprocess.py:93} INFO - response_20240201.txt
[2024-05-10T06:26:39.798+0000] {subprocess.py:93} INFO - response_20240301.txt
[2024-05-10T06:26:39.799+0000] {subprocess.py:93} INFO - response_20240302.txt
[2024-05-10T06:26:39.803+0000] {subprocess.py:93} INFO - response_20240303.txt
[2024-05-10T06:26:39.804+0000] {subprocess.py:93} INFO - response_20240304.txt
[2024-05-10T06:26:39.816+0000] {subprocess.py:93} INFO - response_20240305.txt
[2024-05-10T06:26:39.817+0000] {subprocess.py:93} INFO - response_20240306.txt
[2024-05-10T06:26:39.817+0000] {subprocess.py:93} INFO - response_20240307.txt
[2024-05-10T06:26:39.825+0000] {subprocess.py:93} INFO - response_20240308.txt
[2024-05-10T06:26:39.826+0000] {subprocess.py:93} INFO - response_20240309.txt
[2024-05-10T06:26:39.828+0000] {subprocess.py:93} INFO - response_20240310.txt
[2024-05-10T06:26:39.830+0000] {subprocess.py:93} INFO - response_20240311.txt
[2024-05-10T06:26:39.831+0000] {subprocess.py:93} INFO - response_20240312.txt
[2024-05-10T06:26:39.833+0000] {subprocess.py:93} INFO - response_20240313.txt
[2024-05-10T06:26:39.876+0000] {subprocess.py:93} INFO - response_20240314.txt
[2024-05-10T06:26:39.881+0000] {subprocess.py:93} INFO - response_20240315.txt
[2024-05-10T06:26:39.912+0000] {subprocess.py:93} INFO - response_20240316.txt
[2024-05-10T06:26:39.920+0000] {subprocess.py:93} INFO - response_20240317.txt
[2024-05-10T06:26:39.940+0000] {subprocess.py:93} INFO - response_20240318.txt
[2024-05-10T06:26:39.943+0000] {subprocess.py:93} INFO - response_20240319.txt
[2024-05-10T06:26:39.946+0000] {subprocess.py:93} INFO - response_20240320.txt
[2024-05-10T06:26:39.952+0000] {subprocess.py:93} INFO - response_20240321.txt
[2024-05-10T06:26:39.953+0000] {subprocess.py:93} INFO - response_20240322.txt
[2024-05-10T06:26:39.955+0000] {subprocess.py:93} INFO - response_20240323.txt
[2024-05-10T06:26:39.956+0000] {subprocess.py:93} INFO - response_20240324.txt
[2024-05-10T06:26:39.958+0000] {subprocess.py:93} INFO - response_20240325.txt
[2024-05-10T06:26:39.960+0000] {subprocess.py:93} INFO - response_20240326.txt
[2024-05-10T06:26:39.961+0000] {subprocess.py:93} INFO - response_20240327.txt
[2024-05-10T06:26:39.965+0000] {subprocess.py:93} INFO - response_20240328.txt
[2024-05-10T06:26:39.967+0000] {subprocess.py:93} INFO - response_20240329.txt
[2024-05-10T06:26:39.968+0000] {subprocess.py:93} INFO - response_20240330.txt
[2024-05-10T06:26:39.970+0000] {subprocess.py:93} INFO - Confirmación, puede proceder
[2024-05-10T06:26:39.971+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2024-05-10T06:26:39.973+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-05-10T06:26:40.007+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=Proyecto_SpaceX_v1, task_id=Lectura_Datos_NASA, run_id=scheduled__2024-03-30T00:00:00+00:00, execution_date=20240330T000000, start_date=20240510T062639, end_date=20240510T062640
[2024-05-10T06:26:40.059+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-05-10T06:26:40.097+0000] {taskinstance.py:3498} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-05-10T06:26:40.122+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
